City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Alappuzha,IN,77.23,9.49,76.33,Panoramic Sea Resort
10,Luganville,VU,82.4,-15.53,167.17,The Espiritu Hotel
12,Vanimo,PG,86.68,-2.67,141.3,Vahmoneh Lodge Vanimo
13,Yulara,AU,82.4,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
14,Huangyan,CN,82.53,28.65,121.26,景和商务酒店
19,Hilo,US,84.2,19.73,-155.09,Hilo Hawaiian Hotel
21,Sao Felix Do Xingu,BR,81.81,-6.64,-51.99,Apart Hotel Rio Xingu
30,Bengkulu,ID,78.64,-3.8,102.27,Grage Hotel Bengkulu
33,Vila Velha,BR,75.99,-20.33,-40.29,Hotel Vitória Palace
39,San Cristobal,VE,82.4,7.77,-72.22,Pirineos
42,Nakamura,JP,80.28,32.98,132.93,Hotel Crown Hills Nakamura
43,Kidal,ML,84.76,18.44,1.41,
45,Kapaa,US,84.0,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
47,Vaini,TO,75.2,-21.2,-175.2,Keleti Beach Resort
50,Atuona,PF,79.11,-9.8,-139.03,Villa Enata
53,Aden,YE,84.6,12.78,45.04,Sama Emirate Hotel
59,Tual,ID,80.44,-5.67,132.75,Grand Vilia Hotel
64,Hobyo,SO,76.01,5.35,48.53,Osmani Hotel
65,Oranjestad,AW,84.2,12.52,-70.03,Divi Village Golf & Beach Resort
68,North Little Rock,US,87.01,34.77,-92.27,DoubleTree by Hilton Hotel Little Rock
71,Powell River,CA,75.2,49.85,-124.54,Rodmay Hotel
76,Georgetown,MY,78.8,5.41,100.34,Cititel Penang
85,San Patricio,MX,86.0,19.22,-104.7,Hotel Cabo Blanco
88,Lorengau,PG,84.56,-2.02,147.27,Lorengau Harbourside Hotel
101,Wajima,JP,86.0,37.4,136.9,Wajiima Onsen Yashio
107,Jiazi,CN,83.28,22.88,116.07,Hotel Jin Hao
108,Sur,OM,82.53,22.57,59.53,Sur Plaza Hotel
114,Trat,TH,87.01,12.5,102.5,สวนหนิง-อัศ
119,Hithadhoo,MV,82.15,-0.6,73.08,Scoop Guest House
121,Kavieng,PG,83.75,-2.57,150.8,Nusa Island Retreat
123,Makakilo City,US,87.8,21.35,-158.09,Marriott's Ko Olina Beach Club
127,Ambulu,ID,80.31,-8.35,113.61,Hotel Ambulu Jember
