City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tasiilaq,GL,65.61,-37.64,35.6,93,97,9.17
1,Alappuzha,IN,9.49,76.33,77.23,87,85,0.18
2,Clyde River,CA,70.47,-68.59,37.4,78,20,16.11
3,Bluff,NZ,-46.6,168.33,51.78,70,89,13.42
4,Marystown,CA,47.17,-55.15,59.0,100,65,5.12
5,Fort Nelson,CA,58.81,-122.7,55.4,62,40,3.36
6,Asau,RO,46.43,26.4,55.0,98,0,2.21
7,Hobart,AU,-42.88,147.33,62.6,48,100,10.29
8,Corowa,AU,-36.03,146.38,63.0,71,0,3.0
9,Voyvozh,RU,62.89,54.96,48.87,96,2,4.21
10,Luganville,VU,-15.53,167.17,82.4,69,75,8.05
11,Provideniya,RU,64.38,-173.3,42.8,70,75,24.61
12,Vanimo,PG,-2.67,141.3,86.68,60,10,8.55
13,Yulara,AU,-25.24,130.99,82.4,15,0,14.99
14,Huangyan,CN,28.65,121.26,82.53,53,0,1.92
15,Albany,US,42.6,-73.97,68.0,68,2,1.57
16,Rikitea,PF,-23.12,-134.97,73.65,84,0,11.23
17,Avarua,CK,-21.21,-159.78,73.4,64,13,8.05
18,Uyemskiy,RU,64.47,40.85,59.0,93,75,6.71
19,Hilo,US,19.73,-155.09,84.2,62,90,10.29
20,Goderich,CA,43.75,-81.72,69.01,76,100,25.34
21,Sao Felix Do Xingu,BR,-6.64,-51.99,81.81,29,67,1.5
22,Husavik,IS,66.04,-17.34,55.4,71,90,8.05
23,Qaanaaq,GL,77.48,-69.36,21.56,81,67,3.98
24,Klaksvik,FO,62.23,-6.59,51.8,100,100,16.11
25,Cape Town,ZA,-33.93,18.42,55.0,81,0,2.24
26,Mitsamiouli,KM,-11.38,43.28,74.44,71,0,1.88
27,Ushuaia,AR,-54.8,-68.3,39.2,80,0,9.17
28,Tuktoyaktuk,CA,69.45,-133.04,44.6,58,20,13.87
29,Punta Arenas,CL,-53.15,-70.92,41.0,80,100,10.29
30,Bengkulu,ID,-3.8,102.27,78.64,83,16,6.53
31,Torbay,CA,47.67,-52.73,59.0,71,20,10.29
32,Greenwood,US,34.17,-82.12,70.0,73,1,3.89
33,Vila Velha,BR,-20.33,-40.29,75.99,83,0,11.41
34,Chara,RU,56.91,118.26,62.94,62,97,1.54
35,Puerto Ayora,EC,-0.74,-90.35,66.99,89,93,4.0
36,Tahe,CN,52.33,124.73,62.47,78,12,3.31
37,Busselton,AU,-33.65,115.33,57.0,62,12,19.93
38,Ngunguru,NZ,-35.62,174.5,64.0,3,93,7.0
39,San Cristobal,VE,7.77,-72.22,82.4,78,40,6.93
40,Saskylakh,RU,71.92,114.08,46.63,68,41,6.89
41,Mataura,NZ,-46.19,168.86,55.56,53,100,3.53
42,Nakamura,JP,32.98,132.93,80.28,81,77,18.61
43,Kidal,ML,18.44,1.41,84.76,52,17,6.73
44,Hermanus,ZA,-34.42,19.23,55.0,83,6,1.99
45,Kapaa,US,22.08,-159.32,84.0,69,90,14.99
46,New Norfolk,AU,-42.78,147.06,64.99,48,100,10.29
47,Vaini,TO,-21.2,-175.2,75.2,69,75,13.87
48,Sept-Iles,CA,50.2,-66.38,50.0,93,40,3.83
49,Ribeira Grande,PT,38.52,-28.7,69.24,73,53,24.38
50,Atuona,PF,-9.8,-139.03,79.11,72,82,18.19
51,Yellowknife,CA,62.46,-114.35,50.0,53,40,6.93
52,Athabasca,CA,54.72,-113.29,50.92,71,100,3.94
53,Aden,YE,12.78,45.04,84.6,82,0,12.35
54,Severo-Kurilsk,RU,50.68,156.12,58.03,87,100,6.85
55,Dargaville,NZ,-35.93,173.88,58.89,83,79,10.6
56,Aklavik,CA,68.22,-135.01,50.0,57,20,6.93
57,Namibe,AO,-15.2,12.15,68.31,86,63,2.21
58,Kaitangata,NZ,-46.28,169.85,55.99,54,100,8.01
59,Tual,ID,-5.67,132.75,80.44,82,95,18.92
60,Port Alfred,ZA,-33.59,26.89,58.3,88,45,6.69
61,Dikson,RU,73.51,80.55,42.06,80,78,20.45
62,Carballo,ES,43.21,-8.69,60.8,77,62,4.7
63,Mar Del Plata,AR,-38.0,-57.56,46.0,93,0,6.62
64,Hobyo,SO,5.35,48.53,76.01,81,75,19.77
65,Oranjestad,AW,12.52,-70.03,84.2,79,20,14.99
66,Saint-Philippe,RE,-21.36,55.77,69.8,64,90,3.36
67,San Juan,AR,-31.54,-68.54,53.55,48,0,4.52
68,North Little Rock,US,34.77,-92.27,87.01,58,1,5.82
69,Jamestown,US,42.1,-79.24,66.99,67,1,4.7
70,Falkenberg,SE,56.91,12.49,57.0,82,100,19.46
71,Powell River,CA,49.85,-124.54,75.2,60,75,10.29
72,Geraldton,AU,-28.77,114.6,60.8,72,90,9.17
73,Palmer,US,42.16,-72.33,68.0,82,20,3.69
74,Talnakh,RU,69.49,88.4,46.4,93,75,4.47
75,Qaqortoq,GL,60.72,-46.03,44.6,87,100,1.12
76,Georgetown,MY,5.41,100.34,78.8,94,20,3.36
77,Kodiak,US,57.79,-152.41,55.4,93,90,14.99
78,Kerouane,GN,9.27,-9.02,69.4,93,99,3.27
79,Chuy,UY,-33.7,-53.46,49.12,87,0,7.43
80,Sangmelima,CM,2.93,11.98,65.5,99,95,3.91
81,Zhanaozen,KZ,43.3,52.8,64.92,29,0,22.57
82,Bredasdorp,ZA,-34.53,20.04,46.4,93,0,1.12
83,Chokurdakh,RU,70.63,147.92,50.25,49,9,9.48
84,Point Pleasant,US,40.08,-74.07,73.99,78,1,4.7
85,San Patricio,MX,19.22,-104.7,86.0,74,75,9.17
86,Thompson,CA,55.74,-97.86,46.4,61,75,18.34
87,Saint George,US,37.1,-113.58,109.4,6,1,18.34
88,Lorengau,PG,-2.02,147.27,84.56,77,2,13.15
89,Bethel,US,41.37,-73.41,71.6,73,90,4.21
90,East London,ZA,-33.02,27.91,62.85,79,93,4.18
91,Safaga,EG,26.73,33.94,91.4,33,40,11.41
92,Neuhof,DE,50.45,9.62,48.0,90,27,2.13
93,Spassk-Dalniy,RU,44.6,132.82,65.98,80,100,3.51
94,Bagan,RU,54.1,77.66,45.12,74,100,8.43
95,Tonj,SS,7.27,28.68,69.03,98,100,5.08
96,Rabo De Peixe,PT,37.8,-25.58,66.2,82,40,21.92
97,Broken Hill,AU,-31.95,141.43,69.8,26,0,16.11
98,Sitka,US,57.05,-135.33,62.6,72,75,3.36
99,Mamou,GN,10.5,-12.0,67.59,95,100,3.0
100,Nelson Bay,AU,-32.72,152.15,68.0,45,20,12.75
101,Wajima,JP,37.4,136.9,86.0,66,75,3.36
102,Coahuayana,MX,18.73,-103.68,73.4,78,90,17.22
103,Yuzhno-Sukhokumsk,RU,44.66,45.64,69.53,68,100,7.02
104,Ust-Uda,RU,54.17,103.03,51.84,69,0,5.82
105,Praia Da Vitoria,PT,38.73,-27.07,69.01,72,75,21.79
106,Dukat,RU,62.55,155.55,37.92,91,100,5.35
107,Jiazi,CN,22.88,116.07,83.28,78,2,5.17
108,Sur,OM,22.57,59.53,82.53,61,0,7.74
109,Dalvik,IS,65.97,-18.53,55.4,71,90,8.05
110,Tolaga Bay,NZ,-38.37,178.3,54.27,66,100,18.63
111,Taltal,CL,-25.4,-70.48,55.9,71,0,4.14
112,Warri,NG,5.52,5.75,74.05,91,99,3.69
113,Valkeala,FI,60.94,26.8,48.2,100,1,5.82
114,Trat,TH,12.5,102.5,87.01,63,100,3.44
115,Ketchikan,US,55.34,-131.65,64.4,72,40,11.41
116,Nikolskoye,RU,59.7,30.79,54.0,81,9,2.24
117,Nenjiang,CN,49.18,125.22,64.17,79,0,6.71
118,Vavoua,CI,7.38,-6.48,70.63,98,99,3.85
119,Hithadhoo,MV,-0.6,73.08,82.15,76,100,11.23
120,Pleshanovo,RU,52.83,53.48,50.94,69,1,1.16
121,Kavieng,PG,-2.57,150.8,83.75,76,2,11.9
122,Tiksi,RU,71.69,128.87,44.53,84,82,5.7
123,Makakilo City,US,21.35,-158.09,87.8,48,40,5.82
124,Iqaluit,CA,63.75,-68.51,44.6,68,75,12.75
125,Barrow,US,71.29,-156.79,41.0,80,75,10.29
126,Constitucion,CL,-35.33,-72.42,50.9,83,0,7.11
127,Ambulu,ID,-8.35,113.61,80.31,72,88,4.61
128,Arraial Do Cabo,BR,-22.97,-42.03,71.65,88,0,18.3
129,Fortuna,US,40.6,-124.16,84.0,60,1,9.17
130,Severnoye,RU,56.35,78.36,42.67,96,100,8.41
131,Dmitriyevka,RU,54.75,55.33,41.0,100,0,4.47
132,Labuhan,ID,-6.88,112.21,82.22,69,10,8.08
133,Katherine,AU,-14.47,132.27,86.0,28,100,14.99
134,Portland,US,45.52,-122.68,90.0,33,20,6.93
135,Tocopilla,CL,-22.09,-70.2,61.72,59,22,8.14
136,Khatanga,RU,71.97,102.5,46.31,66,12,3.76
137,Pisco,PE,-13.7,-76.22,60.8,82,2,17.22
138,Flin Flon,CA,54.77,-101.86,48.2,61,75,18.34
139,Butaritari,KI,3.07,172.79,83.75,72,100,14.97
140,Lagoa,PT,39.05,-27.98,68.43,75,100,23.69
141,Port Lincoln,AU,-34.73,135.87,70.12,35,100,29.24
142,Gat,IL,31.61,34.76,79.0,83,20,2.24
143,Chapais,CA,49.78,-74.85,50.0,87,40,5.82
144,Itatiaia,BR,-22.5,-44.56,68.27,60,0,1.19
145,Puerto Madryn,AR,-42.77,-65.04,53.67,44,0,10.65
146,Sorong,ID,-0.88,131.25,81.3,80,100,7.36
147,Acapulco,MX,16.86,-99.89,82.4,83,90,4.7
148,Acajutla,SV,13.59,-89.83,73.99,96,100,7.61
149,Umm Lajj,SA,25.02,37.27,91.6,37,0,8.12
150,Saint Anthony,US,45.02,-93.22,77.0,47,20,13.87
151,Castro,BR,-24.79,-50.01,64.22,56,0,4.52
152,Kramat,ID,-8.13,113.45,80.58,67,48,3.06
153,Benguela,AO,-12.58,13.41,69.64,87,52,2.13
154,Ferme-Neuve,CA,46.7,-75.45,51.03,80,0,4.83
155,Gornopravdinsk,RU,60.05,69.9,46.17,95,99,6.53
