City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mar Del Plata,AR,-38.0,-57.56,46.0,86,2,3.36
1,Romny,UA,50.75,33.47,63.36,48,89,5.82
2,Souillac,MU,-20.52,57.52,68.0,94,75,1.12
3,Ushuaia,AR,-54.8,-68.3,41.0,75,37,8.05
4,Luyang,CN,27.62,110.1,67.91,92,99,1.61
5,Anadyr,RU,64.75,177.48,48.2,93,75,11.18
6,New Norfolk,AU,-42.78,147.06,63.0,55,77,1.99
7,Dikson,RU,73.51,80.55,41.74,81,69,20.38
8,Kapaa,US,22.08,-159.32,81.0,74,90,18.34
9,Lebu,CL,-37.62,-73.65,49.1,87,0,9.86
10,Atuona,PF,-9.8,-139.03,78.6,75,87,17.58
11,Kruisfontein,ZA,-34.0,24.73,52.11,95,0,2.84
12,Emerald,AU,-23.53,148.17,75.2,53,3,17.22
13,Albany,US,42.6,-73.97,70.0,67,29,1.28
14,Port Alfred,ZA,-33.59,26.89,58.66,87,30,6.44
15,Busselton,AU,-33.65,115.33,54.0,66,25,18.99
16,Ribeira Grande,PT,38.52,-28.7,68.94,72,16,25.01
17,Plerin,FR,48.54,-2.78,55.0,95,10,3.0
18,Cherskiy,RU,68.75,161.3,48.74,51,78,13.33
19,Vaini,TO,-21.2,-175.2,77.0,61,75,14.99
20,Kununurra,AU,-15.77,128.73,77.0,59,91,2.24
21,Jamestown,US,42.1,-79.24,64.4,68,1,3.36
22,Punta Arenas,CL,-53.15,-70.92,42.8,81,75,12.75
23,Pangnirtung,CA,66.15,-65.71,40.17,71,56,2.24
24,Katy,US,29.79,-95.82,84.2,62,75,11.41
25,Talnakh,RU,69.49,88.4,44.6,100,75,6.71
26,Mbaiki,CF,3.87,17.99,68.67,96,100,1.36
27,Itoman,JP,26.12,127.67,82.4,78,20,11.41
28,Qaanaaq,GL,77.48,-69.36,22.01,82,0,2.95
29,Thompson,CA,55.74,-97.86,48.2,65,75,17.22
30,Trairi,BR,-3.28,-39.27,77.52,80,52,8.99
31,Carnarvon,AU,-24.87,113.63,66.2,100,90,4.7
32,Butaritari,KI,3.07,172.79,83.75,73,100,16.91
33,Yellowknife,CA,62.46,-114.35,50.0,61,75,6.93
34,Barrhead,GB,55.8,-4.39,54.0,87,20,5.82
35,Rikitea,PF,-23.12,-134.97,73.56,84,0,11.25
36,Mirabad,AF,30.44,61.84,73.15,21,0,14.5
37,Sungaipenuh,ID,-2.08,101.38,65.73,83,42,3.24
38,Saint George,US,37.1,-113.58,109.4,6,1,17.22
39,Bara,NG,10.37,10.73,73.69,94,100,6.35
40,Barrow,US,71.29,-156.79,39.2,86,90,12.75
41,Ilulissat,GL,69.22,-51.1,37.4,74,100,9.17
42,Mataura,NZ,-46.19,168.86,54.5,54,41,3.98
43,Bluff,NZ,-46.6,168.33,51.44,69,79,13.02
44,Georgetown,MY,5.41,100.34,80.6,94,20,2.24
45,Sao Joao Da Barra,BR,-21.64,-41.05,73.24,85,28,18.37
46,Coahuayana,MX,18.73,-103.68,73.4,78,75,11.41
47,Kutum,SD,14.2,24.67,75.02,63,43,12.37
48,Port-Gentil,GA,-0.72,8.78,75.2,88,40,10.02
49,Isla Vista,US,34.41,-119.86,109.0,38,1,6.93
50,Flin Flon,CA,54.77,-101.86,48.2,53,75,18.34
51,Kangaatsiaq,GL,68.31,-53.46,40.35,71,100,13.35
52,Niquelandia,BR,-14.47,-48.46,77.25,28,0,4.65
53,Brae,GB,60.4,-1.35,51.8,76,98,14.99
54,Hilo,US,19.73,-155.09,87.8,55,75,11.41
55,Pisco,PE,-13.7,-76.22,64.0,77,21,17.22
56,Vardo,NO,70.37,31.11,46.4,93,56,8.05
57,Lorengau,PG,-2.02,147.27,84.54,77,10,13.4
58,Isangel,VU,-19.55,169.27,75.2,78,75,14.27
59,Tarakan,ID,3.3,117.63,79.2,85,97,8.14
60,Vao,NC,-22.67,167.48,71.01,79,100,16.67
61,Portland,US,45.52,-122.68,89.01,33,20,9.17
62,Tasiilaq,GL,65.61,-37.64,35.6,100,81,9.17
63,Fortuna,US,40.6,-124.16,86.0,57,1,8.05
64,Sisimiut,GL,66.94,-53.67,39.38,72,21,14.63
65,Fare,PF,-16.7,-151.02,78.57,76,76,11.7
66,Narsaq,GL,60.92,-46.05,44.6,93,99,2.24
67,Khatanga,RU,71.97,102.5,43.38,73,30,4.09
68,Cape Town,ZA,-33.93,18.42,55.99,82,0,5.82
69,Makat,KZ,47.65,53.35,63.34,40,87,12.77
70,Igrim,RU,63.19,64.42,42.03,85,9,3.15
71,Puerto Ayora,EC,-0.74,-90.35,68.0,91,87,5.99
72,Faanui,PF,-16.48,-151.75,78.19,76,47,10.96
73,Prince Rupert,CA,54.32,-130.32,57.2,100,90,3.36
74,Chuy,UY,-33.7,-53.46,49.35,87,8,7.7
75,Copiapo,CL,-27.37,-70.33,55.4,71,0,3.36
76,Fernley,US,39.61,-119.25,93.0,13,7,1.01
77,Ahipara,NZ,-35.17,173.17,59.86,71,48,14.61
78,Bardiyah,LY,31.76,25.09,72.81,70,0,4.61
79,Garden City,US,42.33,-83.33,73.4,56,75,11.41
80,Roald,NO,62.58,6.13,53.6,81,20,5.82
81,Barras,BR,-4.24,-42.29,77.95,56,38,6.87
82,Hermanus,ZA,-34.42,19.23,55.0,81,6,10.67
83,Zaozhuang,CN,34.86,117.55,75.61,67,0,7.18
84,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,76.93,84,91,0.36
85,Latung,PH,5.5,120.88,83.39,72,18,4.85
86,Alofi,NU,-19.06,-169.92,75.2,53,75,21.92
87,Sigli,ID,5.38,95.96,77.63,74,100,4.38
88,Upernavik,GL,72.79,-56.15,35.85,85,99,12.48
89,Bethel,US,41.37,-73.41,73.4,64,90,3.36
90,Rorvik,NO,64.86,11.24,54.5,80,66,3.69
91,Tuktoyaktuk,CA,69.45,-133.04,42.8,70,20,11.41
92,Hobart,AU,-42.88,147.33,63.0,48,77,9.17
93,Anuradhapura,LK,8.36,80.42,77.85,76,92,12.53
94,Lujan,AR,-34.57,-59.1,52.0,86,0,7.61
95,East London,ZA,-33.02,27.91,62.53,82,92,2.04
96,Siderno,IT,38.28,16.3,75.99,73,40,1.12
97,Cabo San Lucas,MX,22.89,-109.91,86.0,66,40,9.17
98,Nikolskoye,RU,59.7,30.79,53.01,87,5,4.47
99,Hay River,CA,60.82,-115.8,50.0,61,75,3.36
100,Mao,ES,39.89,4.27,73.4,69,29,11.41
101,Ponta Do Sol,PT,32.67,-17.1,73.4,78,40,5.82
102,Lokosovo,RU,61.13,74.82,42.48,95,57,7.81
103,Suamico,US,44.63,-88.04,73.4,69,90,11.41
104,Akdagmadeni,TR,39.66,35.88,54.12,82,0,2.55
105,Mahebourg,MU,-20.41,57.7,68.0,94,75,1.12
106,Sitka,US,57.05,-135.33,60.8,72,75,8.05
107,Juneau,US,58.3,-134.42,61.0,55,20,10.29
